Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics[city]	Characteristics[city]	Characteristics [organism]	Characteristics[environmental specimen]	Characteristics [fungus organism]	alternative sample ID	Characteristics [fungal strain]
CHI_28A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_28a	Parastagonospora nodorum CHI_28A
CHI_25A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_25a	Parastagonospora nodorum CHI_25A
AUS_1E10				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1E10	Parastagonospora nodorum AUS_1E10
CHI_22A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_22a	Parastagonospora nodorum CHI_22A
HARTNEY				R. Clear	2005	Canada	North America	n/a	n/a	wheat	seeds	Parastagonospora nodorum	SN05Can_Hartney	Parastagonospora nodorum HARTNEY
JASEN4				R. Clear	2005	Canada	North America	n/a	n/a	wheat	seeds	Parastagonospora nodorum	SN05Can_Jansen #4	Parastagonospora nodorum JASEN4
BRIERCREST				R. Clear	2005	Canada	North America	n/a	n/a	wheat	seeds	Parastagonospora nodorum	SN05Can_Briercrest	Parastagonospora nodorum BRIERCREST
BARKER				Kasia Clarke	2009	Australia	Oceania	 town of Mt Barker	n/a	oats	leaf	Parastagonospora nodorum	Mt.Baker	Parastagonospora nodorum BARKER
AUS_1C3				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1C3	Parastagonospora nodorum AUS_1C3
AUS_1D4				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1D4	Parastagonospora nodorum AUS_1D4
